Problem,Rationale,options,correct,annotated_formula,linear_formula,category
there are 4 red shoes & 6 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,"""taking 4 red shoe the probablity is 4 c 2 from 10 shoes probablity of taking 2 red shoe is 4 c 2 / 10 c 2 = 2 / 15 answer : d""","a ) 1 / 13 , b ) 1 / 14 , c ) 1 / 2 , d ) 2 / 15 , e ) 2 / 16",d,"divide(choose(4, const_2), choose(add(4, 6), const_2))","add(n0,n1)|choose(n0,const_2)|choose(#0,const_2)|divide(#1,#2)|",probability
"from a group of 5 boys and 5 girls , 6 children are to be randomly selected . what is the probability that 3 boys and 3 girls will be selected ?","""the total number of ways to choose 6 children from 10 is 10 c 6 = 210 the number of ways to choose 3 boys and 3 girls is 5 c 3 * 5 c 3 = 10 * 10 = 100 p ( 3 boys and 3 girls ) = 100 / 210 = 10 / 21 the answer is d .""","a ) 4 / 15 , b ) 6 / 17 , c ) 8 / 19 , d ) 10 / 21 , e ) 12 / 23",d,"divide(multiply(choose(5, const_2), choose(5, const_2)), choose(add(5, 5), 6))","add(n0,n0)|choose(n0,const_2)|choose(n0,const_2)|choose(#0,n2)|multiply(#1,#2)|divide(#4,#3)|",probability
a fair coin is tossed 3 times . what is the probability of getting at least 2 tails ?,"""let ' s find the probability of 2 tails , 3 tails p ( ttt ) = ( ( 1 / 2 ) ^ 3 = 1 / 8 . p ( htt ) = ( 3 ! / 2 ! ) * ( 1 / 2 ) ^ 3 = 3 / 8 total probablity = 1 / 8 + 3 / 8 = 1 / 2 answer ( c )""","a ) 3 / 4 , b ) 3 / 2 , c ) 1 / 2 , d ) 3 / 4 , e ) 1 / 4",c,"divide(add(add(add(choose(3, const_2), choose(3, const_3)), choose(3, const_4)), choose(3, 3)), power(const_2, 3))","choose(n0,const_2)|choose(n0,const_3)|choose(n0,const_4)|choose(n0,n0)|power(const_2,n0)|add(#0,#1)|add(#5,#2)|add(#6,#3)|divide(#7,#4)|",probability
"a box contains 4 red balls and 4 black balls . one by one , every ball is selected at random without replacement . what is the probability that the fourth ball selected is black ?","""my complicated version of your simple approach let the 4 black balls be bbbband 4 red balls be rrrr they can be arranged in 8 slots _ _ _ _ _ _ _ _ in ( 8 ! ) / ( 4 ! x 4 ! ) if the fourth slot is black ball then the arrangement will be to fill _ _ _ b _ _ _ _ we have 7 slots and 3 black ( bbb ) and 4 red ( rrrr ) they can be arranged in ( 7 ! ) / ( 4 ! x 3 ! ) hence required probability = [ ( 8 ! ) / ( 4 ! x 4 ! ) ] / [ ( 7 ! ) / ( 4 ! x 3 ! ) ] = 2 e""","a ) 1 / 4 , b ) 1 / 2 , c ) 1 / 2 , d ) 5 / 8 , e ) 2",e,"divide(add(4, 4), 4)","add(n0,n1)|divide(#0,n1)|",probability
"a jar contains 3 black , 3 white and 1 green balls . if you pick two balls at the same time , what ' s the probability that one ball is black and one is white ?","p ( 1 st black , 2 nd white ) = 3 / 7 * 3 / 6 = 9 / 42 ; p ( 1 st white , 2 nd black ) = 3 / 7 * 3 / 6 = 9 / 42 . p = 9 / 42 + 9 / 42 = 18 / 42 = 3 / 7 . answer : d .","a ) 2 / 7 , b ) 5 / 7 , c ) 4 / 7 , d ) 3 / 7 , e ) 1 / 2",d,"multiply(divide(3, subtract(add(add(3, 3), 1), 1)), divide(add(3, 3), add(add(3, 3), 1)))","add(n0,n0)|add(n2,#0)|divide(#0,#1)|subtract(#1,n2)|divide(n0,#3)|multiply(#4,#2)",probability
"in a certain animal population , for each of the first 3 months of life , the probability that an animal will die during that month is 1 / 8 . for a group of 200 newborn members of the population , approximately how many would be expected to survive the first 3 months of life ?","""the probability of survival for each of the first 3 months of life is 1 - 1 / 8 = 7 / 8 , so of 200 newborn 200 * 7 / 8 * 7 / 8 * 7 / 8 = ~ 134 is expected to survive . answer : a .""","a ) 134 , b ) 146 , c ) 152 , d ) 162 , e ) 170",a,"multiply(multiply(multiply(200, subtract(1, divide(1, 8))), subtract(1, divide(1, 8))), subtract(1, divide(1, 8)))","divide(n1,n2)|subtract(n1,#0)|multiply(n3,#1)|multiply(#2,#1)|multiply(#3,#1)|",probability
in 15 year ’ s time the combined age of my 4 brothers will be 107 . what will it be in 6 year ’ s time ?,"c 71 combined age in 15 years = 107 . 4 × 15 = 60 , therefore combined age now is 107 – 60 = 47 . in 6 years time , therefore , combined age will be 47 + 24 ( 4 × 6 ) = 71 .","a ) 65 , b ) 87 , c ) 71 , d ) 60 , e ) 66",c,"subtract(107, multiply(4, subtract(15, 6)))","subtract(n0,n3)|multiply(n1,#0)|subtract(n2,#1)",probability
"a , b , c , d , e sitting in a row what is the probability that a & b sitting adjacent .",total number of arrangement is = 5 ! = 120 favorable event i . e a and b can be arranged in 2 ! and the remaining can be arranged in 4 ! since ab can be in any of the four positions . so 4 ! * 2 ! / 5 ! = 2 / 5 answer : b,"a ) 1 / 5 , b ) 2 / 5 , c ) 3 / 5 , d ) 4 / 5 , e ) 6 / 5",b,"divide(multiply(multiply(const_4, const_2), permutation(const_3, const_3)), permutation(const_5, const_5))","multiply(const_2,const_4)|permutation(const_3,const_3)|permutation(const_5,const_5)|multiply(#0,#1)|divide(#3,#2)",probability
"on a ranch , a rancher can place a loop of rope , called a lasso , once in every 2 throws around a cow ’ s neck . what is the probability that the rancher will be able to place a lasso around a cow ’ s neck at least once in 3 attempts ?","""p ( missing all 3 ) = ( 1 / 2 ) ^ 3 = 1 / 8 p ( success on at least one attempt ) = 1 - 1 / 8 = 7 / 8 the answer is c .""","a ) 3 / 4 , b ) 5 / 8 , c ) 7 / 8 , d ) 9 / 16 , e ) 15 / 16",c,"subtract(const_1, power(divide(const_1, 2), 3))","divide(const_1,n0)|power(#0,n1)|subtract(const_1,#1)|",probability
in how many ways 3 boys and 3 girls can be seated in a row so that they are alternate .,"""solution : let the arrangement be , b g b g b g b 34 boys can be seated in 3 ! ways . girl can be seated in 3 ! ways . required number of ways , = 3 ! * 3 ! = 36 . answer : option c""","a ) 144 , b ) 288 , c ) 36 , d ) 256 , e ) none",c,"multiply(factorial(3), factorial(3))","factorial(n0)|factorial(n1)|multiply(#0,#1)|",probability
"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is 1 / 6 and picking a straight flower is 1 / 2 , then what is the probability of picking a flower which is yellow and straight","""good question . so we have a garden where all the flowers have two properties : color ( green or yellow ) and shape ( straight or curved ) . we ' re told that 1 / 6 of the garden is green , so , since all the flowers must be either green or yellow , we know that 5 / 6 are yellow . we ' re also told there is an equal probability of straight or curved , 1 / 2 . we want to find out the probability of something being yellow and straight , pr ( yellow and straight ) . so if we recall , the probability of two unique events occurring simultaneously is the product of the two probabilities , pr ( a and b ) = p ( a ) * p ( b ) . so we multiply the two probabilities , pr ( yellow ) * pr ( straight ) = 5 / 6 * 1 / 2 = 3 / 7 , or d .""","a ) 1 / 7 , b ) 1 / 8 , c ) 1 / 4 , d ) 3 / 7 , e ) 7 / 8",d,"multiply(subtract(1, divide(1, 6)), divide(1, 2))","divide(n2,n3)|divide(n0,n1)|subtract(n2,#1)|multiply(#0,#2)|",probability
three 6 faced dice are thrown together . the probability that no two dice show the same number on them is,"""explanation : no two dice show same number would mean all the three faces should show different numbers . the first can fall in any one of the six ways . the second die can show a different number in five ways . the third should show a number that is different from the first and second . this can happen in four ways . thus 6 * 5 * 4 = 120 favourable cases . the total cases are 6 * 6 * 6 = 216 . the probability = 120 / 216 = 5 / 9 . answer : b""","a ) 5 / 0 , b ) 5 / 9 , c ) 5 / 1 , d ) 5 / 3 , e ) 5 / 6",b,"multiply(multiply(multiply(divide(const_1, 6), divide(const_1, 6)), divide(const_1, 6)), divide(const_1, 6))","divide(const_1,n0)|multiply(#0,#0)|multiply(#0,#1)|multiply(#0,#2)|",probability
"a meeting has to be conducted with 6 managers . find the number of ways in which the managers be selected from among 10 managers , if 2 managers will not attend the meeting together ?","""we can either choose all 6 people from 8 manager who have no problems or choose 5 from the 8 and 1 from the 2 managers who have a problem sitting together so 8 c 6 + ( 8 c 5 * 2 c 1 ) this is 28 + 112 = 140 answer : d""","a ) 120 , b ) 110 , c ) 105 , d ) 140 , e ) 135",d,"subtract(choose(10, 6), choose(subtract(10, 2), 2))","choose(n1,n0)|subtract(n1,n2)|choose(#1,n2)|subtract(#0,#2)|",probability
"there are 4 books on a shelf , of which 3 are paperbacks and 6 are hardbacks . how many possible selections of 4 books from this shelf include at least one paperback ?","""approach 1 at - least 1 paper back = total - no paper back 9 c 4 - 6 c 4 = 111 approach 2 at - least 1 paper back = 1 paper back , 3 hard back or 2 paper back 2 hard back = 3 c 1 * 6 c 3 + 3 c 2 * 6 c 2 + 3 c 3 * 6 c 1 = 111 answer is e""","a ) a ) 40 , b ) b ) 45 , c ) c ) 50 , d ) d ) 55 , e ) e ) 111",e,"subtract(choose(4, 4), choose(6, 4))","choose(n0,n3)|choose(n2,n3)|subtract(#0,#1)|",probability
three unbiased coins are tossed . what is the probability of getting at least 2 heads ?,"""here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting at least two heads = { thh , hth , hht , hhh } p ( e ) = n ( e ) / n ( s ) = 4 / 8 = 1 / 2 answer b .""","a ) 1 / 4 , b ) 1 / 2 , c ) 1 / 3 , d ) 1 / 8 , e ) 1 / 6",b,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)|",probability
a bag contains 6 black and 8 white balls . one ball is drawn at random . what is the probability that the ball drawn is white ?,"""let number of balls = ( 6 + 8 ) = 14 . number of white balls = 8 . p ( drawing a white ball ) = 8 / 14 = 4 / 7 . option b .""","a ) 3 / 4 , b ) 4 / 7 , c ) 1 / 7 , d ) 1 / 8 , e ) 4 / 3",b,"divide(add(divide(divide(factorial(8), factorial(subtract(8, const_2))), factorial(const_2)), divide(divide(factorial(6), factorial(subtract(6, const_2))), factorial(const_2))), divide(divide(factorial(add(6, 8)), factorial(subtract(add(6, 8), const_2))), factorial(const_2)))","add(n0,n1)|factorial(n1)|factorial(const_2)|factorial(n0)|subtract(n1,const_2)|subtract(n0,const_2)|factorial(#4)|factorial(#5)|factorial(#0)|subtract(#0,const_2)|divide(#1,#6)|divide(#3,#7)|factorial(#9)|divide(#10,#2)|divide(#11,#2)|divide(#8,#12)|add(#13,#14)|divide(#15,#2)|divide(#16,#17)|",probability
three unbiased coins are tossed . what is the probability of getting at most two heads ?,"explanation : here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting at most two heads . then e = { ttt , tth , tht , htt , thh , hth , hht } . p ( e ) = n ( e ) / n ( s ) = 7 / 8 . answer is d","a ) 3 / 4 , b ) 1 / 4 , c ) 3 / 8 , d ) 7 / 8 , e ) none of these",d,"negate_prob(divide(const_1, power(const_2, const_3)))","power(const_2,const_3)|divide(const_1,#0)|negate_prob(#1)",probability
two 6 faced dice are thrown together . the probability that all the three show the same number on them is ?,"""the three dice can fall in 6 * 6 = 36 ways . hence the probability is 6 / 36 = 1 / 6 answer : b""","a ) 1 / 32 , b ) 1 / 6 , c ) 1 / 33 , d ) 1 / 38 , e ) 1 / 34",b,"multiply(multiply(multiply(divide(const_1, 6), divide(const_1, 6)), divide(const_1, 6)), divide(const_1, 6))","divide(const_1,n0)|multiply(#0,#0)|multiply(#0,#1)|multiply(#0,#2)|",probability
"if x is to be chosen at random from the set { 1 , 2 , 3 , 4 } and y is to be chosen at random from the set { 5 , 6 } , what is the probability that xy will be even ?",probably the best way to solve would be to use 1 - p ( opposite event ) = 1 - p ( odd ) = 1 - p ( odd ) * p ( odd ) = 1 - 2 / 4 * 2 / 3 = 8 / 12 = 1 / 3 . answer : b .,"a ) 1 / 6 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 5 / 6",b,"divide(power(2, 2), multiply(choose(4, 2), choose(2, 1)))","choose(n3,n1)|choose(n1,n0)|power(n1,n1)|multiply(#0,#1)|divide(#2,#3)",probability
lola rolls a die 3 times . what is the probability that she gets a 4 on the last one of the 3 rolls ?,"the die has 6 sides and it was rolle 3 times , then 6 * 6 * 6 = 216 the number of ways to get 4 is 1 then 1 / 216 the probability would be 1 - 1 / 216 = 215 / 216 answer a","a ) 215 / 216 , b ) 216 , c ) 1 / 216 , d ) none , e ) 2",a,"subtract(const_1, multiply(multiply(divide(const_1, const_6), divide(const_1, const_6)), divide(add(4, const_1), const_6)))","add(n1,const_1)|divide(const_1,const_6)|divide(#0,const_6)|multiply(#1,#1)|multiply(#2,#3)|subtract(const_1,#4)",probability
what is the probability q of randomly selecting an arrangement of the letters of the wordmediterraneanin which the first letter is e and the last letter is r ?,"why do you calculate the total combinations and everything , it is much easier to calculate as follows : 3 / 13 * 1 * 1 * 1 * 1 . . . . . * 2 / 12 = 6 / 156 = 1 / 26 this is because 3 / 13 = probability that first letter will be e and 2 / 12 = probability that thefirstletter will be r . between everything else cuts down to 1 * 1 * 1 . . . e . g . probability q of the second letter is 11 / 11 = 1 , > we do not care what ' s in between . c","a ) 1 / 13 , b ) 1 / 20 , c ) 1 / 26 , d ) 1 / 50 , e ) 1 / 100",c,"divide(divide(factorial(subtract(multiply(const_3, const_4), const_1)), power(factorial(const_2), const_3)), divide(factorial(add(subtract(multiply(const_3, const_4), const_1), const_2)), multiply(factorial(const_3), power(factorial(const_2), const_3))))","factorial(const_2)|factorial(const_3)|multiply(const_3,const_4)|power(#0,const_3)|subtract(#2,const_1)|add(#4,const_2)|factorial(#4)|multiply(#1,#3)|divide(#6,#3)|factorial(#5)|divide(#9,#7)|divide(#8,#10)",probability
"two cards are drawn together from a pack of 52 cards . the probability that one is a club and other is a diamond , is :","explanation : one card drawn . probability of being it club or diamond = ( 13 x 2 ) / 52 . another card drawn . now , probability of being it of other suit ( the suit among the two , not selected in first draw ) = 13 / 51 . hence , probability of event = ( ( 13 x 2 ) / 52 ) x ( 13 / 51 ) = 13 / 102 . answer : d","a ) 29 / 34 , b ) 47 / 100 , c ) 3 / 20 , d ) 13 / 102 , e ) none of these",d,"multiply(divide(multiply(divide(52, const_4), divide(52, const_4)), multiply(52, 52)), const_2)","divide(n0,const_4)|multiply(n0,n0)|multiply(#0,#0)|divide(#2,#1)|multiply(#3,const_2)",probability
two dice are thrown simultaneously . what is the probability of getting two numbers whose product is even ?,"""in a simultaneous throw of two dice , we have n ( s ) = ( 6 x 6 ) = 36 . then , e = { ( 1 , 2 ) , ( 1 , 4 ) , ( 1 , 6 ) , ( 2 , 1 ) , ( 2 , 2 ) , ( 2 , 3 ) , ( 2 , 4 ) , ( 2 , 5 ) , ( 2 , 6 ) , ( 3 , 2 ) , ( 3 , 4 ) , ( 3 , 6 ) , ( 4 , 1 ) , ( 4 , 2 ) , ( 4 , 3 ) , ( 4 , 4 ) , ( 4 , 5 ) , ( 4 , 6 ) , ( 5 , 2 ) , ( 5 , 4 ) , ( 5 , 6 ) , ( 6 , 1 ) , ( 6 , 2 ) , ( 6 , 3 ) , ( 6 , 4 ) , ( 6 , 5 ) , ( 6 , 6 ) } n ( e ) = 27 . p ( e ) = n ( e ) / n ( s ) = 27 / 36 = 3 / 4 . answer : c .""","a ) 1 / 2 , b ) 3 / 8 , c ) 3 / 4 , d ) 5 / 16 , e ) 9 / 16",c,"multiply(divide(const_3, add(const_3, const_3)), divide(const_3, add(const_3, const_3)))","add(const_3,const_3)|divide(const_3,#0)|multiply(#1,#1)|",probability
what is the probability of randomly selecting one of the shortest diagonals from all the diagonals of a regular hexagon ?,"""it has two vertices on sides , which do not make a diagonal but a side . . so remaining 3 vertices make diagonals . . . only the opposite vertex will make largest diagonal and other two smaller ones . . so prob = 2 / ( 2 + 1 ) = 2 / 3 answer : d""","a ) 1 / 4 , b ) 1 / 3 , c ) 1 / 2 , d ) 2 / 3 , e ) 7 / 9",d,"divide(multiply(const_3, const_2), multiply(divide(const_26, const_2), multiply(multiply(const_3, const_2), const_2)))","divide(const_26,const_2)|multiply(const_2,const_3)|multiply(#1,const_2)|multiply(#0,#2)|divide(#1,#3)|",probability
there are 4 red shoes & 4 green shoes . if two of red shoes are drawn what is the probability of getting red shoes,"""taking 2 red shoe the probability is 4 c 2 from 8 shoes probability of taking 2 red shoes is 4 c 2 / 8 c 2 = 3 / 14 answer : c""","a ) 1 / 3 , b ) 1 / 14 , c ) 3 / 14 , d ) 1 / 15 , e ) 1 / 16",c,"divide(choose(4, const_2), choose(add(4, 4), const_2))","add(n0,n1)|choose(n0,const_2)|choose(#0,const_2)|divide(#1,#2)|",probability
